ID,Sachgebiet,Frage,Antwort Nr. 1,Antwort Nr. 2,Antwort Nr. 3,Richtige Antwort = Nr.
1066,"Waffenkunde, Waffenrecht","Was bezeichnet die auf einer Schrotpatronenschachtel aufgedruckte Zahlenangabe ""12/70""?","Schrotgröße 0,12 Zoll, Hülsenlänge 70 mm","Kaliber 12, Inhalt 70 Schrotkugeln","Kaliber 12, Hülsenlänge 70 mm",3
1067,"Waffenkunde, Waffenrecht","Worauf bezieht sich die Angabe über die Hülsenlänge (65 mm, 67,5 mm oder 70 mm) einer Schrotpatrone?",Auf die Patronenlänge vor dem Schuss,Laufdurchmesser,Auf die Gesamthülsenlänge nach dem Schuss,3
1068,"Waffenkunde, Waffenrecht",Welche der nachgenannten Aussagen zum Stahlschrot (Weicheisenschrot) ist richtig?,Stahlschrote können aus jeder Waffe verschossen werden,Die Verwendung von Stahlschrot (Weicheisenschrot) bei der Jagd ist zulässig.,"Die Verwendung von Stahlschrot (Weicheisenschrot) ist nur für die Bejagung innerhalb einem Umkreis von 100 m um ein Gewässer herum, zulässig.",2
1069,"Waffenkunde, Waffenrecht",Durch welchen Konstruktionsteil einer Selbstladepistole wird die Patrone in den Lauf geschoben?,Magazinfeder,Auszieher,Verschluss,3
1071,"Waffenkunde, Waffenrecht",Was sind blanke Waffen?,Nicht brünierte Allwetterwaffen aus rostfreiem Stahl,"Büchsen ohne Visier, die nur mit Zielfernrohr ausgerüstet sind","Stich- und Schneidewaffen, die zum Beispiel zum Abfangen von Schalenwild dienen",3
1072,"Waffenkunde, Waffenrecht","Was bedeutet die Bezeichnung ""Joule"" (J) bei ballistischen Angaben über Büchsenpatronen?",Bezeichnung der Herstellerfirma,Maßeinheit für den Gasdruck im Patronenlager,Maßeinheit für die Geschossenergie,3
1073,"Waffenkunde, Waffenrecht","Was bedeutet die Abkürzung ""E 100"" in Schusstabellen?",Maximale Schussentfernung 100 m,Empfohlene Einschussentfernung 100 m,Geschossenergie in 100 m Entfernung von der Laufmündung,3
1074,"Waffenkunde, Waffenrecht","Was bedeutet in Schusstabellen die Bezeichnung ""Günstigste Einschussentfernung"" (=GEE)?","Entfernung, bei der die Auftreffenergie des Geschosses am höchsten ist",Einschussentfernung für preiswerte Standard-Zielfernrohre,"Entfernung, bei der das Geschoss die Visierlinie zum zweiten Mal kreuzt",3
1076,"Waffenkunde, Waffenrecht",Was ist die Seelenachse?,Die Visierlinie-Auge-Zielfernrohr in gerader Verlängerung,Die Flugbahn des Projektils,Eine gedachte Linie in Längsrichtung durch die Mitte des Laufes (Mittellinie der Laufbohrung),3
1077,"Waffenkunde, Waffenrecht",An welcher Stelle des Gewehrs entsteht der höchste Gasdruck?,Unmittelbar vor der Laufmündung,Ungefähr in der Mitte des Laufes,Im Bereich des Patronenlagers,3
1078,"Waffenkunde, Waffenrecht",Wo ist die Geschossgeschwindigkeit am höchsten?,Bei 50 m Entfernung von der Laufmündung,Bei 100 m Entfernung von der Laufmündung,Beim Verlassen des Laufes,3
1081,"Waffenkunde, Waffenrecht",Mit welcher Faustformel lässt sich die Gefährdung des Hinterlandes durch Schrotschuss berechnen?,Schrotstärke (mm) x 50 m,Schrotstärke (mm) x 200 m,Schrotstärke (mm) x 100 m,3
1082,"Waffenkunde, Waffenrecht",Mit welchem maximalen Gefahrenbereich ist in der Regel beim Schießen mit Flintenlaufgeschossen aus Sicherheitsgründen zu rechnen?,700 m,2 500 m,1 500 m,3
1083,"Waffenkunde, Waffenrecht",Welche der nachgenannten Geschosse zerlegen sich im Wildkörper in der Regel nicht?,Teilmantel-Rundkopfgeschosse,H-Mantel-Geschosse mit verdeckter Hohlspitze,Vollmantel-Geschosse und Flintenlaufgeschosse,3
1084,"Waffenkunde, Waffenrecht","Bis zu welcher Entfernung ist der Schrotschuss mit 3,5 mm Schrot auf einen Hasen zuverlässig wirksam?",70 m,50 m,35 m,3
1085,"Waffenkunde, Waffenrecht",Wann wird eine Schusswaffe mit Stecher eingestochen?,Nach dem Laden,Vor dem Entsichern,Unmittelbar vor Schussabgabe,3
1086,"Waffenkunde, Waffenrecht","Warum ist ein ""hartes"" Auflegen der Büchse zu vermeiden?",Es besteht kein Einfluss auf die Treffpunktlage,Es kann zu einem Kurzschuss führen,Es kann zu einem Hochschuss führen,3
1087,"Waffenkunde, Waffenrecht",Was versteht man bei der Abgabe eines Büchsenschusses unter Abkommen?,Die seitliche Geschossabweichung infolge Windeinflusses,Die Treffpunktverlagerung nach Abgabe von mehreren Schüssen in schneller Folge aus einer kombinierten Waffe,Den anvisierten Zielpunkt bei der Schussabgabe,3
1088,"Waffenkunde, Waffenrecht","Darf aus einer alten Doppelflinte, welche den Beschussstempel ""N"" nicht trägt, mit den heute für die Jagd allgemein gebräuchlichen Schrotpatronen geschossen werden?",Ja,"Ja, aber nur 2 Schrotstärken kleiner",Nein,3
1089,"Waffenkunde, Waffenrecht",Auf welche Entfernung bezieht sich die Sehfeldangabe von Zielfernrohren?,1 000 m,500 m,100 m,3
1090,"Waffenkunde, Waffenrecht","Was bedeutet der Begriff ""Absehen""? Das Absehen ist ...","der Punkt, auf den der Zielstachel des Zielfernrohrs im Augenblick der Schussabgabe zeigt","die falsche Entfernung zwischen Auge und Zielfernrohr-Okular, die zur Einengung des Sehfeldes führt","die Zieleinrichtung im Zielfernrohr, wie z. B. das Fadenkreuz",3
1091,"Waffenkunde, Waffenrecht",Welche der nachgenannten Aussagen zum Leuchtabsehen in Zielfernrohren ist richtig?,Beleuchtete Absehen ermöglichen ein genaues Sehen des Absehens bei schlechten Lichtverhältnissen,Beleuchtete Absehen dienen der genauen Zielerkennung,Beleuchtete Absehen verbessern das Ansprechen des Wildes in der Dämmerung/Nacht,1
1092,"Waffenkunde, Waffenrecht",Sie wollen für ihre Langwaffe Munition kaufen. Als Jagdscheininhaber benötigen Sie dafür:,den Jagdschein und Munitionserwerbsschein,den Munitionserwerbsschein,den gültigen Jagdschein,3
1093,"Waffenkunde, Waffenrecht",Kann der Jäger beim Waffenhändler durch Vorlage des gültigen Jahresjagdscheines Langwaffen zur Ansicht mitnehmen?,"ja, aber nur in Verbindung mit einer Waffenbesitzkarte",nein,ja,3
1094,"Waffenkunde, Waffenrecht",Wie nennt man den Verschluss bei Repetierbüchsen?,Blockverschluss,Kerstenverschluss,Zylinderverschluss,3
1095,"Waffenkunde, Waffenrecht",Darf man mit einer Flinte Schalenwild erlegen?,"ja, nur mit einem Einstecklauf im Kaliber 22 Hornet",nein,ja,3
1096,"Waffenkunde, Waffenrecht",Reicht die Treffgenauigkeit eines Flintenlaufgeschosses für alle jagdlichen Schussentfernungen aus?,"ja, wegen des großen Geschossgewichtes","ja, bei entsprechender Visierung der Waffe","nein, in der Regel bis 50 m",3
1097,"Waffenkunde, Waffenrecht","Wie kontrollieren Sie am schnellsten, ob sich Patronen in einem Drilling befinden?",durch Kontrollieren der Stellung der Abzüge,durch Kontrolle der Signalstifte,durch Öffnen der Waffe,3
1098,"Waffenkunde, Waffenrecht",Was sichert die Flügelsicherung bei der Repetierbüchse Mauser 98?,Abzug,Abzugstollen,Schlagbolzen,3
1099,"Waffenkunde, Waffenrecht",Was ist ein Bergstutzen?,"eine von Heinrich Berg gebaute, kurze Kipplaufbüchse",eine kurze Büchse für Hochgebirgsjäger,eine Langwaffe mit zwei übereinanderliegenden Kugelläufen unterschiedlichen Kalibers,3
1100,"Waffenkunde, Waffenrecht",Was versteht man unter Innenballistik?,Wirkung des Geschosses im Wildkörper,Flugbahn und ihre Beeinflussung,Schussentwicklung im Lauf,3
1101,"Waffenkunde, Waffenrecht",Dürfen aus Flinten Magnum-Schrotpatronen verschossen werden?,"nur, wenn die Würgebohrung speziell dafür bearbeitet ist","nur, wenn die Flinte mehr als 70 cm lange Läufe hat","nur, wenn die Flinte dem verstärkten Beschuss unterzogen worden ist",3
1102,"Waffenkunde, Waffenrecht",Was ist ein Beschusszeichen?,Zeichnen des Wildes nach dem Schuss,Markierung der Anschussstelle,Beschussstempel des staatlichen Beschussamtes auf allen wesentlichen Teilen der Waffe,3
1103,"Waffenkunde, Waffenrecht",Wie verhalten Sie sich bei einem Versager?,Sofort den Verschluss öffnen und die Patrone schnell aus dem Lager nehmen,"Die Waffe, ohne zu öffnen, dem Büchsenmacher bringen.","Im Anschlag bleiben, den Lauf in nicht gefährdende Richtung halten und den Verschluss nach 10 sec. öffnen.",3
1104,"Waffenkunde, Waffenrecht",Was sind Signalstifte?,"Vorrichtungen, die anzeigen, ob eine Waffe gestochen ist","Forstlehrlinge, die das Jagdhornblasen erlernen","Vorrichtungen, die anzeigen, ob die Schlösser einer Waffe gespannt sind",3
1105,"Waffenkunde, Waffenrecht",Dürfen Flintenlaufgeschosse aus einem Vollchokelauf verschossen werden?,nur wenn die Waffe mit einer verstärkten Ladung beschossen wurde,"nein, um Beschädigungen an der Waffe zu vermeiden","ja, wenn das Geschoss für Vollchoke geeignet ist",3
1106,"Waffenkunde, Waffenrecht","Wie verhalten Sie sich, wenn der Pfropfen einer abgefeuerten Schrotpatrone im Lauf stecken geblieben ist?","mit einer Patrone, aus der die Schrote entfernt worden sind, den Pfropfen aus dem Lauf schießen",Hindernis mit einer weiteren Patrone aus dem Lauf schießen,das Hindernis muss entfernt werden,3
1107,"Waffenkunde, Waffenrecht",Beim Wechsel des Patronenfabrikates ist die Treffpunktlage des Geschosses,der Schusstafel des Munitionsherstellers zu entnehmen,dem Aufdruck auf der Patronenschachtel zu entnehmen.,durch Probeschüsse zu ermitteln,3
1108,"Waffenkunde, Waffenrecht",Welche Faust-Feuerwaffe hat gewöhnlich einen Schlitten?,der Revolver,der Colt-Revolver,die Pistole,3
1109,"Waffenkunde, Waffenrecht",Wie verhalten Sie sich bei Funktionsstörungen an der Selbstladepistole?,Verschluss öffnen und Patrone oder Hülse auswerfen,"Pistole sichern und versuchen, diese zu zerlegen",Zuerst Magazin entnehmen und Verschluss öffnen,3
1110,"Waffenkunde, Waffenrecht",Welche Abzugsart ersetzt bereits in modernen Waffen die Stecherabzüge?,Leichtabzug,Kurzabzug,Feinabzug,3
1111,"Waffenkunde, Waffenrecht",Die Trommel eines Revolvers fasst,5 bis 9 Patronen,10 bis 15 Patronen,15 bis 20 Patronen,1
1112,"Waffenkunde, Waffenrecht","Kann bei einem Einabzugssystem mit manueller Umschaltung der Schütze bestimmen, ob zuerst der obere bzw. der untere Lauf abgefeuert werden soll?",Nur bei Doppelbüchsen,Nein,Ja,3
1114,"Waffenkunde, Waffenrecht","Was versteht man unter einer ""offenen Visierung""?",Ein Zielfernrohr mit Leuchtpunktabsehen.,Ein Zielfernrohr mit Fadenkreuzabsehen.,Eine Visierung mit Kimme und Korn.,3
1115,"Waffenkunde, Waffenrecht",Welche Angaben müssen sich auf der Hülse einer Büchsenpatrone befinden?,"Eine Farbkennzeichnung, die verschlüsselt den Geschossdurchmesser angibt.",Eine Angabe über das Zündsystem und die Geschossform.,Das Kennzeichen des Patronenherstellers und die genaue Kaliberbezeichnung.,3
1117,"Waffenkunde, Waffenrecht","Was sind ""Posten""?","Schrotkugeln, deren Durchmesser kleiner als 2,5 mm ist.",Eine einzelne Bleikugel in Kalibergröße.,"Schrotkugeln, deren Durchmesser 4,5 mm und größer ist.",3
1119,"Waffenkunde, Waffenrecht",Wovon hängt die Durchschlagkraft der Schrote ab?,Farbe der Schrote,Anzahl der Schrote,Auftreffgeschwindigkeit,3
1122,"Waffenkunde, Waffenrecht",Welchen Vorteil bietet die separate Kugelspannung bei einer kombinierten Waffe?,Die Abzugswiderstände verringern sich.,Es kann der Stecher dadurch entfallen.,Die Waffe lässt sich sicherer handhaben und führen.,3
1123,"Waffenkunde, Waffenrecht",Pufferpatronen dienen zur,Optimierung der Treffpunktlage auf dem Zündhütchen.,Minderung des Abzugswiderstandes beim Einstellen des Abzugs.,Schonung des Schlagbolzens beim Entspannen der Waffe.,3
1125,"Waffenkunde, Waffenrecht",Welchen Teil eines optischen Systems bezeichnet man als Objektiv?,Die dem Auge zugewandten Linsen.,Alle Linsen eines optischen Systems.,Die dem Objekt (z. B. Reh) zugewandten Linsen.,3
1126,"Waffenkunde, Waffenrecht",Welches sind die im waffenrechtlichen Sinne wesentlichen Teile einer Selbstladepistole?,"Schloss, Magazin und Visierung","Sicherung, Magazinsperre und Griffschalen","Griffstück (soweit dieses für die Aufnahme des Auslösemechanismus bestimmt ist), Lauf und Schlitten",3
1127,"Waffenkunde, Waffenrecht",In welchem Zustand ist eine Jagdwaffe am sichersten?,entladen,gesichert durch Abzugssicherung,gesichert durch Schlagstücksicherung,1
1129,"Waffenkunde, Waffenrecht",Wie wird im Allgemeinen waffenseitig das Ausbreitungsverhalten einer Schrotgarbe beeinflusst?,durch die Würgebohrung,durch die Länge des Übergangskegels,durch das Kaliber,1
1130,"Waffenkunde, Waffenrecht",Woran erkennt man das Vorhandensein eines Stechers?,am Stecherschräubchen,am rotgefärbten Abzug,an der seitlichen Schaftmarkierung (S),1
1131,"Waffenkunde, Waffenrecht","Warum muss vor der Verwahrung im Waffenschrank das mit Patronen gefüllte Magazin einer Selbstladepistole entfernt werden, bevor eine Patrone von Hand aus dem Patronenlager repetiert wird?",Beim Vorgleiten des Schlittens kann unbeabsichtigt wieder eine Patrone ins Patronenlager eingeführt werden.,Beim Zurückziehen des Schlittens könnte es zu Beschädigungen der Patronen im Magazin kommen.,"Der Schlitten bleibt sonst in seiner Endstellung stehen, und die weitere Handhabung wird erschwert.",1
1133,"Waffenkunde, Waffenrecht",Was versteht man unter einer gebrochenen Waffe?,Die Kipplaufwaffe ist geöffnet.,Die Gravur der Waffe hat ein unterbrochenes Muster (Arabesken).,Der Schaft der Waffe ist durch äußere Gewalteinwirkung an der schwächsten Stelle zerbrochen.,1
1134,"Waffenkunde, Waffenrecht",Welcher Geschosstyp ist Zerlegungsgeschoss?,H-Mantel-Geschoss,Vollmantelgeschoss,Flintenlaufgeschoss,1
1135,"Waffenkunde, Waffenrecht",Welche Büchse hat einen Zylinderverschluss?,Repetierbüchse,Doppelbüchse,Blockbüchse,1
1136,"Waffenkunde, Waffenrecht",Bei welchen Waffen wird vorzugsweise der Rückstecher eingebaut?,bei kombinierten Waffen,bei englischen Doppelflinten,bei Revolvern,1
1137,"Waffenkunde, Waffenrecht",Welche äußeren Faktoren beeinflussen im Wesentlichen die Flugbahn eines Büchsengeschosses?,"Geschwindigkeit, Erdanziehung und Luftwiderstand",Bewölkung und Windrichtung,Nieselregen und Nebel,1
1138,"Waffenkunde, Waffenrecht",Auf einer Schrotpatrone finden Sie die Information Nr.1 20/76. Wofür steht die 76?,Hülsenlänge (im abgeschossenen Zustand),Kaliber,Herstellungsjahr,1
1141,"Waffenkunde, Waffenrecht",Welcher Stecher wird auch Rückstecher genannt?,französischer Stecher,deutscher Stecher,schweizer Stecher,1
1142,"Waffenkunde, Waffenrecht","Genügt zum Erwerb der Pistolenmunition im Kaliber 7,65 mm die Vorlage des Jahresjagdscheins?",nein,ja,nur beim Kauf von weniger als 20 Schuss,1
1143,"Waffenkunde, Waffenrecht",Besitzen Randfeuerpatronen ein Zündhütchen?,nein,ja,nur ab Kaliber 7 mm,1
1145,"Waffenkunde, Waffenrecht",Welche Hauptaufgabe erfüllt die Parierstange einer Saufeder?,Sie begrenzt die Eindringtiefe der Klinge.,Sie dient der Zierde.,Sie verhindert die Verletzung des Jägers beim Abfangen.,1
1147,"Waffenkunde, Waffenrecht",Welche Laufzusammenstellung hat ein Doppelbüchsdrilling?,zwei Kugelläufe und ein Schrotlauf,ein Kugellauf und zwei Schrotläufe,drei Kugelläufe,1
1148,"Waffenkunde, Waffenrecht","Welchen Durchmesser hat das Kaliber "".308""?","7,62 mm",7 mm,8 mm,1
1149,"Waffenkunde, Waffenrecht",Auf einer Schrotpatrone finden Sie die Information Nr.1 20/76. Wofür steht die Nr. 1?,Schrotstärke,Herstellungsjahr,Kaliber,1
1150,"Waffenkunde, Waffenrecht",Was versteht man unter einem Flintenabzug?,ohne Verzögerung reagierender Direktabzug,Beseitigung des Rostansatzes an Flintenläufen,eingebaute Stecherabzüge für Flintenläufe,1
1151,"Waffenkunde, Waffenrecht","Sie wollen für Ihre Pistole P 38, Kaliber 9 mm Para, Munition erwerben. Was müssen Sie beim Erwerb vorlegen?","die Waffenbesitzkarte, in der die Pistole eingetragen ist, mit Berechtigungsvermerk zum Erwerb der dazugehörigen Munition",den Jagdschein,den Jagdschein und den Personalausweis,1
1152,"Waffenkunde, Waffenrecht",Welcher Verschluss hält den höchsten Gasdruck aus?,Kammerverschluss,Greenerverschluss,Kerstenverschluss,1
1153,"Waffenkunde, Waffenrecht",Wozu dienen die Laufhaken?,Zum Verschließen von Kipplaufwaffen,Zum Einhaken des Zielfernrohres bei der Suhler Einhakmontage,Zur Befestigung des Gewehrriemens,1
1154,"Waffenkunde, Waffenrecht","Wie ändert sich das Sehfeld, wenn bei einem variablen Zielfernrohr die Vergrößerung von 1,5-fach auf 6-fach verstellt wird?",Es wird kleiner,Es wird größer,Es bleibt gleich,1
1156,"Waffenkunde, Waffenrecht",Wie viele Meter beträgt etwa der Sicherheitsbereich von 3 mm Schrot?,1300 m,1000 m,300 m,3
1157,"Waffenkunde, Waffenrecht",Ein Jagdscheininhaber hat auf seiner Waffenbesitzkarte nur eine Flinte im Kaliber 16/70 eingetragen. Darf er auch Schrotpatronen mit einem anderen Kaliber erwerben?,"Ja, aber nur im Kaliber 16/65 und 16/67,5.","Nein, er darf nur Munition für das eingetragene Kaliber erwerben.",Ja.,3
1158,"Waffenkunde, Waffenrecht",Das Auswerfen der Hülse beim Ejektor erfolgt durch den,Rückstoß,Gasdruck,Federdruck,3
1159,"Waffenkunde, Waffenrecht",Wie werden Repetierbüchsen in der Regel entspannt (ohne Schussabgabe)?,Herkömmliche Repetierbüchsen lassen sich nur gegen eine Pufferpatrone abschlagen und dadurch entspannen.,Der Drehkammerverschluss ist auf einer im Patronenlager befindlichen Patrone abzuspannen.,"Bei entsicherter, geöffneter und ungeladener Waffe wird der Abzug durchgezogen und die Kammer mit dem Kammerstängel geschlossen.",3
1161,"Waffenkunde, Waffenrecht",Welche Abzüge und deren Laufzuordnung bei der Querflinte sind richtig?,"Vorderer Abzug = linker Lauf, hinterer Abzug = rechter Lauf","Vorderer Abzug = oberer Lauf, hinterer Abzug = unterer Lauf","Vorderer Abzug = rechter Lauf, hinterer Abzug = linker Lauf",3
1162,"Waffenkunde, Waffenrecht","Sie besitzen einen Revolver im Kaliber .357 Magnum. Ist es technisch möglich, aus diesem Revolver Patronen im Kaliber .38 Spezial verschießen?","Nein, da die Hülsenlänge und die Ladung größer sind.","Nein, weil Sie dafür keine Munitionsberechtigung besitzen.","Ja, das ist ohne Bedenken möglich.",3
1163,"Waffenkunde, Waffenrecht","Nach welcher Richtung muss der Zielstachel eines Zielfernrohrs verstellt werden, wenn der Kugelschuss zu weit links sitzt?",nach rechts,nach unten,nach links,3
1164,"Waffenkunde, Waffenrecht",Welche Laufbohrung bei Flinten führt zur kleinsten Streuung der Schrotgarbe?,Zylinderbohrung,½ Choke,Voll-Choke,3
1165,"Waffenkunde, Waffenrecht",Welches der nachgenannten Zielfernrohre hat - bei gleichen technischen Gegebenheiten das größte Sehfeld?,8 x 56,6 x 42,1.1 -4 x 24,3
1166,"Waffenkunde, Waffenrecht",Dürfen aus einer Flinte im Kaliber 16/70 Schrotpatronen anderer Kaliber verschossen werden?,nein,"ja, nur solche im Kaliber 20","ja, nur Schrotpatronen mit Kaliber 16/65 sowie 16/67,5",3
1167,"Waffenkunde, Waffenrecht",Welche Aussage zu waffenrechtlichen Vorschriften ist falsch?,"In einem Sicherheitsbehältnis, das mindestens der Norm DIN/EN 1143-1 Widerstandsgrad 0 entspricht und bei dem das Gewicht des Behältnisses 200 Kilogramm unterschreitet, darf eine unbegrenzte Anzahl von Langwaffen aufbewahrt werden.","In einem Sicherheitsbehältnis, das mindestens der Norm DIN/EN 1143-1 Widerstandsgrad 0 entspricht und bei dem das Gewicht des Behältnisses mindestens 200 Kilogramm beträgt, darf eine unbegrenzte Anzahl erlaubnispflichtiger Kurzwaffen aufbewahrt werden.","In einem Sicherheitsbehältnis, das mindestens der Norm DIN/EN 1143-1 Widerstandsgrad 0 entspricht und bei dem das Gewicht des Behältnisses mindestens 200 Kilogramm beträgt, darf eine unbegrenzte Anzahl von Langwaffen aufbewahrt werden.",2
